Track,Artist,Release Date,ISRC,All Time Rank,Spotify,YouTube,TikTok,Pandora,Soundcloud,Shazam
Houdini,Dua Lipa,11/9/2023,GBAHT2301246,47,"493,627,071","150,571,504","386,610,043","25,843,941","1,991,527","2,389,957"
Danza Kuduro - Cover,MUSIC LAB JPN,5/2/2024,TCJPA2415647,48,"1,655,575,417",,,,,
If We Ever Broke Up,Mae Stephens,2/10/2023,GBUM72300969,49,"304,929,492","61,986,821","5,684,815,935","7,444,354",,"2,227,494"
Despacito,Luis Fonsi,1/13/2017,USUM71607007,50,"1,747,093,405","9,537,135,721","1,143,297,071","266,603,596",,"19,622,551"
euphoria,Kendrick Lamar,4/30/2024,USUG12402839,51,"168,434,320","53,604,746",,"3,156,727","4,304,870","654,482"
Panda Basi,Mvua,2/10/2023,GX3Q92333626,52,"104,271","2,457,026,781","393,580",,,"1,881"
Calm Down (with Selena Gomez),Rema,8/25/2022,NGA3B2214021,53,"1,391,688,322","902,742,581","2,857,920","52,073,859","5,820,026","3,521,951"
Shape of You,Ed Sheeran,1/6/2017,GBAHS1600463,54,"3,909,458,734","8,013,997,219","2,320,856,331","733,565,655","78,149,375","1,146,246"
Mitu,Maian,1/19/2023,EEUM72300001,55,"55,346","2,432,265,978",,,,200
Blinding Lights,The Weeknd,11/29/2019,USUG11904206,56,"4,281,468,720","833,807,130","3,501,177,394","489,299,762","28,659,471","28,994,660"
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,12/2/2022,USUG12208791,57,"1,337,619,917","193,982,443","1,268,862,678","77,382,416",,"6,205,060"
Dona Felicidade,Patati Patatï¿½,6/4/2024,QZNJW2423715,58,,"52,480,069",,,,
Danza Kuduro - Cover,MUSIC LAB JPN,4/29/2024,TCJPA2420090,59,"1,655,575,417",,,,,
Unholy (feat. Kim Petras),Sam Smith,9/22/2022,GBUM72205415,60,"1,556,275,789","254,051,906","7,945,975,878","111,398,743","10,424,892","10,192,485"
Stereo Love - Melodic,Edward Maya,6/5/2024,ROCMA2413380,61,,,,"420,235,997",,
Very Cute Melody by Marimba Tone (39813),mitsu sound,12/31/2023,RUA1H2406425,62,"1,384","222,076","8,811,416,708",,,
Supernova,aespa,5/13/2024,KRA302400090,63,"69,729,033","111,310,770","393,973,528","45,515","255,951","63,283"
Me Porto Bonito,Bad Bunny,5/6/2022,QM6MZ2214877,64,"1,811,990,630","1,516,863,120","6,470,937,272","111,324,744",,"3,393,920"
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),JUVENILE,3/29/2024,USCM52400059,65,"199,929,812",,,"390,345,308",,
Calm Down,Rema,2/10/2022,NGA3B2214004,66,"584,427,088","1,141,904,909","18,216,656,774","98,290,873","14,668,216","22,563,407"
CARNIVAL,ï¿½ï¿½$,2/8/2024,QZ7XS2400012,67,"466,887,055","27,688,666",,"1,359,484","11,703,609","1,982,000"
Kill Bill,SZA,12/8/2022,USRC12204584,68,"1,873,746,537","220,538,045","1,284,413,960","57,350,590","16,992,932","4,873,832"
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,7/13/2023,USUM72307484,69,"891,720,245","144,741,616","3,998,086,216","39,374,594","5,418,596","4,476,509"
Babba,Guy Mac,3/3/2023,QZA742305720,70,"46,567","2,038,459,981",,"1,456",,903
Heat Waves,Glass Animals,6/29/2020,GBUM72000433,71,"2,996,181,078","1,272,898,075","5,518,429,969","122,247,640",,"17,848,778"
In the End,Linkin Park,4/12/2024,USWB11201322,72,"2,045,512,421",,,,,
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1/11/2023,UYB282301031,73,"946,941,510","776,436,101","11,936,401,096","48,806,666",,"2,237,762"
The Way We Move - Extended Mix,PowerDress,3/10/2023,UKACT2330463,74,"7,909","1,999,374,091",,,,"1,412"
Old Town Road,Lil Nas X,3/14/2019,USSM11901941,75,"1,010,494,713","3,203,314,695","1,981,431,049","181,784,010","106,880,548","8,856,633"
un x100to,Grupo Frontera,4/17/2023,QM6N22311285,76,"1,008,495,696","878,892,413","1,669,065,906","55,857,743",,"2,283,747"
Laxed ï¿½ï¿½ï¿½ Sire,Jawsh 685,4/24/2020,NZAM02001128,77,,"12,489,728","12,221,514,692","5,678,792",,
Sprinter,Dave,6/1/2023,GBUM72305159,78,"692,512,930","219,666,692","1,254,944,697","411,656","12,405,917","3,093,667"
CHIHIRO,Billie Eilish,5/17/2024,USUM72401988,79,"169,410,711","19,402,457",,"521,322","1,680,434","388,625"
TQG,KAROL G,2/23/2023,USUM72222541,80,"1,024,381,758","1,102,289,596","248,168,852","68,022,934","164,895","3,488,226"
Perfect,Ed Sheeran,3/3/2017,GBAHS1700024,81,"2,969,999,682","6,473,698,897","7,647,479,866","617,483,078",,
Pepas,Farruko,6/24/2021,USSD12100307,82,"1,500,499,584","1,431,591,689","4,067,248,819","120,046,948","6,227","17,210,946"
Peekaboo,Dave Angel,1/27/2023,GBLTF2300027,83,"8,082","2,055,940,513",,,,442
Ella Baila Sola,Eslabon Armado,3/16/2023,USE7D2300007,84,"1,215,336,974","701,880,622","15,373,104","84,378,219","17,115,523","3,435,177"
Dance The Night - From Barbie The Album,Dua Lipa,5/25/2023,USAT22305457,85,"860,026,452","173,044,031","1,227,837,850","64,567,514","1,843,883","3,199,636"
La Bebe - Remix,Yng Lvcas,3/17/2023,MXF152300159,86,"1,032,225,805","920,878,032","2,416,141,351","55,410,702","230,579","2,635,577"
redrum,21 Savage,1/12/2024,USSM12309164,87,"428,233,003","105,148,629","43,993,800","16,802,867",,"2,490,071"
Easy On Me,Adele,10/14/2021,USSM12105970,88,"1,720,918,065","1,194,846,205","7,860,224,413","203,324,731",,"7,569,155"
Tití Me Preguntó,Bad Bunny,5/6/2022,QM6MZ2214878,89,"1,514,239,759","1,366,181,141","5,249,863,696","69,095,169",,"5,133,847"
All My Life (feat. J. Cole),Lil Durk,5/12/2023,USQX92302957,90,"333,202,114","203,487,345","748,253,884","90,114,807","16,620,102","4,207,535"
Anti-Hero,Taylor Swift,10/21/2022,USUG12205736,91,"1,563,224,246","203,259,285","3,864,505,972","92,338,994",,"4,703,179"
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/2022,UYB282201028,92,"1,692,951,462","1,132,539,234","2,054,826,154","18,052,815","4,099,686","6,836,893"
Magnetic,ILLIT,3/25/2024,USA2P2413259,93,"255,076,355","202,206,901","506,476,590","220,481","556,784","659,825"
